Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
0,Serious,1:46,Monday,Hazy,Dark,National Highway,Wet,Signs,61,5
0,Minor,21:30,Wednesday,Hazy,Dusk,Urban Road,Dry,Signs,92,5
1,Minor,5:37,Wednesday,Foggy,Dawn,National Highway,Under Construction,Signs,120,5
0,Minor,0:31,Saturday,Rainy,Dark,State Highway,Dry,Signals,76,3
0,Minor,11:21,Thursday,Foggy,Dusk,Urban Road,Wet,Signs,115,5
0,Serious,8:4,Tuesday,Stormy,Daylight,Village Road,Dry,Police Checkpost,48,1
0,Fatal,18:55,Monday,Foggy,Dusk,Urban Road,Under Construction,Police Checkpost,111,2
0,Minor,11:40,Wednesday,Clear,Dark,State Highway,Damaged,Police Checkpost,62,3
0,Fatal,8:26,Saturday,Clear,Dawn,Urban Road,Damaged,Signs,35,3
0,Fatal,2:1,Saturday,Foggy,Dark,State Highway,Under Construction,Signs,110,2
1,Minor,22:25,Thursday,Hazy,Dusk,National Highway,Dry,Signals,35,5
0,Fatal,16:49,Tuesday,Clear,Dusk,National Highway,Wet,Unknown,46,3
0,Serious,23:22,Saturday,Hazy,Daylight,Village Road,Under Construction,Signs,46,1
0,Serious,6:47,Wednesday,Foggy,Dusk,State Highway,Wet,Signals,98,5
0,Serious,18:57,Friday,Foggy,Dawn,National Highway,Wet,Police Checkpost,47,3
0,Minor,12:6,Friday,Stormy,Dusk,State Highway,Under Construction,Signals,60,4
0,Minor,12:47,Sunday,Rainy,Dark,Village Road,Damaged,Signs,90,2
0,Fatal,18:59,Thursday,Hazy,Dark,Village Road,Wet,Signs,114,5
0,Serious,10:51,Wednesday,Rainy,Dawn,National Highway,Under Construction,Signs,80,3
0,Fatal,6:39,Saturday,Foggy,Daylight,State Highway,Wet,Signs,46,3
0,Serious,8:10,Tuesday,Rainy,Dusk,Urban Road,Dry,Signals,30,5
0,Serious,1:35,Wednesday,Hazy,Dusk,Urban Road,Dry,Signs,55,2
0,Fatal,18:51,Friday,Clear,Dawn,National Highway,Wet,Signals,34,1
0,Serious,13:34,Tuesday,Foggy,Daylight,National Highway,Dry,Unknown,106,3
0,Serious,3:29,Monday,Foggy,Dawn,Urban Road,Damaged,Police Checkpost,31,1
0,Fatal,11:10,Tuesday,Stormy,Daylight,National Highway,Wet,Police Checkpost,92,3
